ZIP,date,Adjusted gross income (AGI),Salaries and wages in AGI Amount,Net capital gain (less loss) in AGI Amount,Unemployment compensation Amount,Social Security benefits in AGI Amount,Real estate taxes Amount,Taxes paid Amount,Taxable income Amount,Total tax credits Amount,Residential energy credit Amount,Income tax Amount,Alternative minimum tax Amount,Overpayments refunded Amount,Additional Medicare tax Amount
93270,2014,86085,60438,1378,4731,1809,659,2981,41108,693,0,6166,0,6437,0
93271,2014,70221,38604,2202,538,3426,1207,3829,48657,333,58,8078,115,1468,0
93272,2014,70672,34188,23166,495,648,161,4008,41508,447,0,7392,0,3264,0
93274,2014,1220375,888356,66503,9918,23400,12679,54556,685111,10979,840,108956,1805,65810,259
93277,2014,1089164,774756,28675,6904,33341,12743,51559,675650,7757,536,106978,1672,42278,218
93280,2014,313963,250098,3045,7181,3265,2286,10247,150329,3402,27,21758,226,20396,144
93283,2014,21203,12272,197,212,1197,208,713,11992,77,0,1744,0,944,0
93285,2014,34305,15539,560,325,2732,454,1362,20882,130,0,3043,0,996,0
93286,2014,121570,95843,557,2917,2622,970,3554,58273,1176,40,7718,139,8643,0
93291,2014,1264362,866741,73516,8021,22535,17667,75768,803347,11125,783,153125,3599,55201,622
93292,2014,799496,590455,20838,6762,20842,10180,36884,483741,6636,551,74968,1160,34822,169
93301,2014,270661,161051,8563,1477,5983,3018,16287,176006,1298,64,36648,915,11818,172
93304,2014,590333,485517,4004,7492,10143,3821,14178,274809,5676,113,34165,369,47172,21
93305,2014,397918,312510,4183,5712,7066,2900,11738,187019,3225,70,26556,443,32513,52
93306,2014,1395006,1006717,23004,10223,40832,19370,69377,837392,11239,813,135146,2310,64348,262
93307,2014,939707,786961,4597,15819,9892,7477,24948,398682,10557,272,48813,748,81436,33
93308,2014,1135310,819260,27274,6352,31722,15336,64545,730276,8019,757,126525,2276,43787,273
93309,2014,1337885,914199,38787,8092,40130,15410,73688,844542,9643,675,148083,4467,58698,389
93311,2014,1807001,1244707,58556,4884,29094,34346,145883,1283833,12696,1435,268708,8505,46312,1508
93312,2014,2020011,1519503,47040,6558,39107,43330,150534,1381844,14642,2040,252058,5387,52267,726
93313,2014,1013356,821975,12594,7067,14296,16527,51065,592471,10887,755,86551,942,44238,110
93314,2014,1194302,830190,38392,3007,19332,26142,104636,845458,7695,1513,174099,5086,28542,727
93401,2014,1179125,710463,71504,2768,32665,20353,87264,844353,5356,435,178371,5337,22675,569
93402,2014,418194,235679,19974,1639,19531,10552,25313,271936,2187,184,42936,1054,9627,42
93405,2014,537426,291092,47837,1127,21428,10084,32846,379225,2223,136,69936,2528,10613,208
93420,2014,1079345,601914,65590,3413,47686,27342,78291,746744,5228,720,138845,4558,21650,474
93422,2014,921504,607293,37573,3728,31471,19945,59100,611648,5657,712,100168,2092,23240,144
93426,2014,32618,17627,426,150,1249,668,2323,21919,122,0,4227,0,801,0
93427,2014,200068,143625,3409,627,5218,3807,12586,127803,1034,14,22768,458,4606,163
93428,2014,252925,82224,19619,664,17155,7715,20224,172440,762,37,32199,908,4219,85
93430,2014,128859,56649,17721,383,5953,2975,9601,92420,499,0,17838,786,2187,49
93432,2014,47668,27068,2062,220,1964,1282,3900,32307,281,0,6116,239,1056,0
93433,2014,297784,220194,5992,2047,8087,4663,13766,187213,1742,15,28868,249,9381,27
93434,2014,104747,88602,491,1669,1692,795,2273,47659,1175,0,5599,0,7020,0
93436,2014,1126631,814907,24941,7799,38027,16603,49357,695035,7230,145,105142,1196,42885,74
93437,2014,57978,56570,205,210,0,100,371,31001,1018,0,3138,0,4637,0
93442,2014,306427,160589,16205,1163,16743,6388,16932,204376,1303,63,33582,798,6559,62
93444,2014,649315,392688,27826,3227,29247,15755,43645,425033,3424,278,73505,1604,18319,166
93445,2014,115825,90304,1370,903,2965,1380,4068,65617,889,0,9018,0,4871,0
93446,2014,1177016,772703,51495,5459,40806,26063,74879,745036,7813,759,121743,2966,36171,211
93449,2014,364309,180742,36960,895,15761,8725,29075,265325,1072,62,53147,1686,6228,179
93450,2014,24862,7183,484,134,398,192,2151,17403,85,0,5055,0,542,0
93451,2014,92586,63836,6164,626,2231,1707,5690,53138,757,0,8198,207,4048,0
93452,2014,9082,5625,112,0,347,90,293,5234,45,0,719,0,264,0
93453,2014,86057,52453,5597,647,2903,1528,4760,58251,493,0,9257,241,2067,0
93454,2014,715343,517872,21004,7173,21376,9559,30783,394049,5688,182,58399,969,32922,53
93455,2014,1326303,887273,32587,6161,46962,29006,85228,882885,7780,355,152877,2604,33925,361
93458,2014,783127,692731,2317,12911,9371,6705,16817,303029,8772,20,32543,156,56264,0
93460,2014,368626,132232,35697,563,10746,9275,32766,266314,1296,128,66355,2334,7191,169
93461,2014,29132,20201,2766,277,553,209,1029,15976,274,0,2280,0,1403,0
93463,2014,336469,164336,24976,780,13858,8918,29960,232894,1335,144,46714,2579,6063,166
93465,2014,379190,217896,22211,1263,11564,9254,28758,260028,2243,383,49852,2132,8792,136
93501,2014,59932,45961,151,553,1414,319,1707,32451,462,36,4550,0,4248,0
93505,2014,178532,135490,760,1438,4946,1151,5733,107828,1308,125,15796,55,9921,0
93510,2014,304229,222378,6604,1551,8731,8298,25728,208757,1099,172,34256,750,7089,65
93512,2014,4390,3181,0,0,0,0,0,2678,0,0,369,0,182,0
93513,2014,40152,27841,307,307,1757,402,1333,25732,203,0,3703,0,1362,0
93514,2014,341513,210545,10875,2021,13929,5243,16789,228379,1834,201,37616,600,9979,18
93516,2014,25207,17953,52,136,1322,51,571,15301,171,0,2115,0,1319,0
93517,2014,17553,10346,112,193,684,278,662,11259,79,0,1566,0,505,0
93518,2014,23234,11317,215,167,1713,327,1094,14730,78,0,2247,0,577,0
93523,2014,68733,60025,751,194,1113,295,1261,41958,982,0,5338,0,4190,0
93526,2014,17092,9898,319,0,815,150,624,11793,64,0,1827,0,473,0
93527,2014,51691,33837,241,164,2235,570,2374,34769,249,0,5256,0,1676,0
93531,2014,27495,14192,381,0,1013,637,2334,19725,58,0,4114,0,491,0
93532,2014,68025,53611,658,591,1911,1308,4364,43758,344,0,6766,0,2224,0
93534,2014,569279,444858,8076,5395,13255,7215,22037,308655,4505,241,44287,534,37760,49
93535,2014,961131,778877,5040,10138,19018,14899,39676,467872,9428,691,59442,321,74521,29
93536,2014,1712601,1337869,21440,10069,39804,40947,114908,1090009,12196,1200,175845,2890,61213,260
93543,2014,189896,145995,830,1929,5218,2602,7981,98958,1490,104,13258,38,11258,0
93544,2014,20379,12268,263,128,1362,353,985,12876,64,0,1956,0,574,0
93545,2014,45591,31593,359,261,1775,449,1665,29358,294,0,4467,0,1782,0
93546,2014,247530,158457,11241,2701,5088,5039,14988,159143,1362,52,28288,943,6765,87
93550,2014,959621,798268,3508,10284,14855,15780,39152,447420,9297,238,54960,383,75421,15
93551,2014,1518154,1173258,26845,7891,35392,40643,110206,981728,9469,935,166533,3367,48009,329
93552,2014,606999,520104,1602,6142,8104,15497,33867,298082,6460,232,36462,246,39634,8
93553,2014,38640,28136,256,242,1370,599,1883,24165,195,0,3710,0,1311,0
93555,2014,798384,590814,10512,2720,20446,9356,36472,533597,5624,780,82214,579,28402,45
93560,2014,390134,321770,1530,2956,7364,5292,18148,237357,3078,287,34632,223,18548,12
93561,2014,730724,506581,13752,3567,27871,13742,41094,474523,4524,289,73871,853,21818,66
93562,2014,22890,19483,7,140,699,63,530,14429,180,0,1966,0,1084,0
93591,2014,75678,59800,228,781,1881,681,2464,35228,618,11,4393,0,5743,0
93601,2014,48060,25734,792,279,2902,824,2361,29782,279,15,4642,0,1210,0
93602,2014,85579,51833,1801,854,3673,1185,3979,56429,438,0,9156,116,2381,0
93604,2014,24554,9920,882,162,1995,764,1771,16851,34,0,3076,0,373,0
93608,2014,13857,12172,0,623,0,0,0,4455,172,0,409,0,1103,0
93609,2014,117698,67536,2920,1781,2051,722,4353,73128,1047,113,14445,126,4942,52
93610,2014,332028,207704,23447,3094,6985,2792,12907,202271,2463,145,35783,466,13869,122
93611,2014,1360274,1000304,24087,6818,39804,24290,79802,907036,10184,1607,149385,2425,37824,280
93612,2014,563401,439141,9042,6110,15285,4742,16271,320487,4711,256,43703,375,29820,46
93614,2014,292048,173580,6656,2513,16886,4694,15073,188817,1608,256,30254,447,7819,32
93615,2014,54077,44275,125,3273,461,146,584,17301,459,0,2022,0,5564,0
93616,2014,31109,23915,134,1157,627,218,650,13460,267,0,1570,0,2509,0
93618,2014,387244,312870,5560,11320,6965,3292,10763,177964,4128,187,22045,266,28374,24
93619,2014,1570228,1086641,44005,4338,34602,36651,125746,1120485,9550,2365,228452,6401,35024,1115
93620,2014,155417,99940,5477,4841,3341,1053,5687,88635,1219,0,15026,218,7973,76
93621,2014,8064,4753,155,0,491,115,338,4795,38,0,656,0,323,0
93622,2014,192159,108701,3615,8945,2253,861,7285,110260,2219,0,21206,430,9051,100
93625,2014,159464,114616,12673,1776,4036,1977,7004,95677,1363,28,14697,271,6627,0
93626,2014,142402,58296,1811,269,2199,2007,8866,116459,315,0,34853,366,2680,148
93628,2014,4443,3779,0,0,0,0,0,2215,74,0,193,0,246,0
93630,2014,333870,234001,9487,6687,6905,2605,12390,184086,3227,155,28705,446,18106,131
93631,2014,476666,297280,21281,3464,10960,5962,29001,321622,3724,352,61372,1343,13903,231
93635,2014,724535,553774,18183,14479,16438,8300,27853,399150,7538,256,56916,565,38745,169
93636,2014,361634,237851,8506,1773,12820,5853,22201,241591,2428,473,42104,854,9392,120
93637,2014,730032,487307,23133,7348,17404,6619,31818,428301,5922,322,73709,1240,34699,265
93638,2014,559423,465241,2542,11474,8107,3607,12807,215122,5237,268,26495,273,48229,0
93640,2014,141976,108618,-20,16893,864,355,1268,41881,1484,0,3990,0,13709,0
93641,2014,7100,3849,26,178,322,77,267,4447,11,0,689,0,280,0
93643,2014,64680,33814,1096,704,4114,899,2765,40115,282,18,6168,0,2073,0
93644,2014,221966,113567,9325,1708,12088,3418,12544,143847,886,38,25577,518,6264,65
93645,2014,12078,6032,498,0,509,143,620,8895,28,0,1714,0,197,0
93646,2014,96595,76312,227,5649,1065,284,1212,35738,954,0,4467,0,9710,0
93647,2014,109880,90124,854,6050,1576,436,1740,37910,997,8,4193,0,10488,0
93648,2014,161073,138710,685,7217,1073,670,2596,55561,1640,0,6342,0,16712,0
93650,2014,58645,40423,804,615,1468,377,2441,30972,427,0,5433,0,3899,0
93651,2014,59157,36854,1441,342,2211,1016,3237,39284,284,0,6777,68,1449,0
93652,2014,8767,6878,0,328,0,0,0,3427,77,0,509,0,716,0
93653,2014,21347,12359,207,258,1242,296,881,13062,102,0,2022,0,711,0
93654,2014,515641,373992,12828,16015,12237,5538,19432,273653,4542,390,41567,568,28797,75
93656,2014,107934,69813,5833,1830,1913,569,4263,60163,887,0,11217,0,5535,0
93657,2014,660992,479712,12897,8887,16907,8208,29007,373315,5651,520,58719,883,34303,177
93660,2014,45669,38134,0,2744,396,105,498,15052,550,0,1456,0,4514,0
93662,2014,462319,348302,8374,8939,10405,4942,15737,230789,4357,221,32277,329,29667,71
93664,2014,33406,14638,940,131,2069,936,2500,23889,50,0,4481,156,584,0
93667,2014,57663,38490,843,489,2142,629,2368,37678,349,0,5935,0,1715,0
93668,2014,28999,12813,1125,526,747,171,1167,19427,163,0,3952,0,997,0
93669,2014,5950,3138,0,0,309,98,222,3510,37,0,478,0,136,0
93675,2014,61240,41922,856,621,3010,760,2357,36287,420,40,4867,0,2345,0
93701,2014,70411,58795,8,1311,373,144,554,19959,553,0,2102,0,9691,0
93702,2014,365316,307359,1075,8653,3878,953,3274,118542,3382,26,12029,0,44770,0
93703,2014,318699,255695,2719,5265,5582,1413,5138,133543,2789,29,16245,0,31827,0
93704,2014,685648,422468,23898,4156,22332,8747,35914,457329,3426,265,84180,1810,24605,280
93705,2014,432126,332215,3021,5684,11998,2633,9479,209513,3631,129,26600,99,34854,0
93706,2014,403956,291495,9548,7108,8876,2121,11477,180592,3079,151,26987,679,35921,93
93710,2014,524423,358246,12148,4022,23113,5430,18578,316718,3609,295,45366,508,23096,18
93711,2014,1877892,924563,106808,4674,67029,31395,142581,1408524,10338,1618,319295,9581,43796,1463
93720,2014,1724998,1194276,45839,6012,43458,28291,110970,1233364,10778,1498,239731,5604,40105,1039
93721,2014,51605,36750,242,341,895,375,1788,29311,345,0,5190,0,2844,0
93722,2014,1458814,1154167,14200,13883,27474,18951,60309,830664,13826,801,120148,1237,75219,128
93723,2014,258442,176732,4866,1656,6075,5127,16565,166430,2080,316,28750,457,8078,115
93725,2014,342530,250607,5878,6643,6197,2362,11639,169306,3062,46,28340,255,24820,31
93726,2014,492498,385469,4774,5856,13262,3121,10423,242037,4210,117,30076,98,36865,0
93727,2014,1186693,922559,16626,12370,25257,16651,49984,650270,12081,775,92250,1140,69600,143
93728,2014,198915,160691,1254,2760,4042,1176,4551,104205,1355,19,14153,98,13868,0
93730,2014,727192,454956,34284,1195,12474,15532,64015,560070,3586,866,131424,5485,11113,993
93901,2014,703916,489351,16677,5904,21246,9495,35257,457514,4086,143,77218,1652,23873,110
93905,2014,881195,796746,2643,30145,6704,10124,21708,312700,10409,228,32186,187,67825,0
93906,2014,1138053,962427,8521,18786,20803,17571,46334,618143,10639,324,83874,662,56337,61
93907,2014,588401,429931,8989,5324,18797,11645,33639,372263,3645,206,60076,990,19048,71
93908,2014,811034,432172,56760,1791,23808,18902,73909,605129,2914,418,136949,5514,13731,757
93920,2014,37281,23350,3567,131,849,286,1152,24456,222,0,4065,0,880,0
93923,2014,838951,264568,179818,889,36750,25745,85333,629831,3206,305,144381,9603,12795,776
93924,2014,400401,171114,71688,653,11885,9999,35277,293352,2600,158,65485,3529,6031,362
93925,2014,34299,26760,153,1083,715,451,1470,17185,360,0,2540,0,1796,0
93926,2014,187926,155278,1379,5243,2617,2105,6943,96494,2209,69,13403,86,10005,0
93927,2014,275127,242223,1165,7158,2600,2802,7595,112446,3009,107,13647,151,19413,0
93930,2014,308684,232125,4919,5054,5804,2822,12116,156939,2579,82,25320,279,17125,52
93933,2014,510284,408040,7628,3433,12965,6342,18882,318836,3632,118,46913,330,19131,15
93940,2014,1317760,721681,101772,2808,39029,23578,96880,949744,6158,296,187742,8887,26869,772
93950,2014,632791,351377,58617,1604,25290,12697,40751,452573,2596,99,84129,2691,12322,233
93953,2014,513529,144748,125058,319,16880,17195,62099,396541,2334,45,101100,8888,10151,533
93955,2014,656356,527796,7361,3059,13824,7896,24185,373805,5193,119,55618,605,28566,81
93960,2014,324380,266371,2840,7515,3916,4325,13499,167567,3654,197,24117,444,17502,31
94002,2014,1991531,1458105,154922,4178,36194,56741,192004,1549348,6118,373,367626,18829,30186,3435
94005,2014,339680,267683,16213,771,4102,6456,26717,265829,1294,48,60098,1883,5239,339
94010,2014,6824827,3369150,1583596,4865,64407,140526,813592,5528747,31943,698,1576333,79023,99256,18486
94014,2014,1272855,1044810,22772,6931,29345,25798,65887,813508,7366,96,128616,1967,43996,179
94015,2014,1984556,1571698,46610,9316,55424,39403,107603,1345335,9981,72,222418,3811,57715,318
94019,2014,1144169,795178,136359,1756,21368,24051,114314,878051,4232,122,228203,9215,22135,2903
94020,2014,104161,63036,5631,258,2418,1984,9546,80840,232,0,18839,573,1416,130
94021,2014,8741,5138,0,0,0,145,644,6465,9,0,1211,0,101,0
94022,2014,5198116,2395935,1518544,1699,50180,112384,669639,4227153,24634,963,1247618,80787,80333,15342
94024,2014,4419232,2554733,894103,2399,50667,104281,530035,3659201,26655,938,1057364,57238,48854,14830
94025,2014,6437224,3561187,1647535,4163,53063,113113,755386,5279511,27064,505,1496345,78182,116239,19774
94027,2014,4753129,1699581,1974648,272,18191,68452,672135,3864668,35925,154,1182030,81731,130976,13983
94028,2014,2243479,866138,774440,331,22261,41154,294113,1783587,9384,267,520893,36464,45992,6440
94030,2014,1238430,819650,76781,3253,33341,32867,106282,922957,4731,116,199344,9051,21208,1311
94038,2014,157482,109568,5999,442,3616,4161,13886,116217,435,0,26263,1137,2727,193
94040,2014,2560721,1963579,237897,3600,28727,46245,232148,2065939,8663,372,513428,24604,33402,5285
94041,2014,1360765,1013888,195223,1987,9373,15485,115942,1130376,3675,90,287068,9654,15746,2926
94043,2014,2118527,1746257,148534,4243,18397,28978,178872,1691491,7740,120,404454,17716,32080,3312
94044,2014,1815920,1383746,71268,6825,44950,47021,139460,1314859,6363,402,259160,9742,38553,1241
94060,2014,53509,31205,3516,99,1479,1032,3853,35472,213,0,7252,339,1396,0
94061,2014,1954601,1380567,174995,5135,35011,39133,158257,1460733,7960,333,325543,14997,35399,2648
94062,2014,5335331,2144569,2145245,3008,45938,87873,597639,4283614,14248,752,1183617,67951,90592,11085
94063,2014,890026,696961,42532,3421,10524,13922,55465,583545,5029,31,114394,4230,29082,499
94065,2014,1559198,880191,276936,2146,13174,28546,158945,1166770,8704,86,312377,19692,25219,2639
94066,2014,1782022,1360079,60421,7412,40671,33625,120276,1259754,7536,238,238249,7708,45259,763
94070,2014,3128636,2105283,269841,4640,45950,75462,334498,2444605,8462,445,638952,36684,35096,7205
94074,2014,7690,4811,0,0,310,113,370,5344,17,0,910,0,142,0
94080,2014,2479530,1974912,72824,10341,56279,51141,157240,1727598,27983,320,313192,7153,69509,1454
94085,2014,1089254,987700,30966,2575,6793,13943,73488,833355,4451,45,175331,4742,23214,933
94086,2014,2703432,2296999,156317,6282,27212,33162,188524,2142270,9163,227,469227,15489,45556,3136
94087,2014,4044156,3141402,329681,7176,61209,82457,356916,3225659,18456,804,765706,39366,50337,7530
94089,2014,973223,846034,33110,3145,14797,11469,60581,738550,4030,19,149652,4300,20546,708
94102,2014,1150307,917264,73884,3604,7435,8590,78310,888659,4272,0,202831,5946,25862,1277
94103,2014,2003772,1281766,251813,3880,6155,18572,172549,1623294,8328,79,381898,15691,41288,2650
94104,2014,787080,227493,349087,251,2974,8178,83774,621141,8110,0,193113,13535,9981,1425
94105,2014,2233300,1128497,703207,1325,4797,25072,262715,1881564,15522,0,531712,30224,38836,5492
94107,2014,3112335,2117225,592617,4400,14281,40512,298948,2584983,10394,86,662364,33650,38762,5914
94108,2014,886327,564968,126080,2072,7400,7278,76396,709904,2833,0,188470,5835,19225,1947
94109,2014,4560805,3205780,569205,8290,48109,39773,380390,3705711,15717,102,922304,33727,67028,8248
94110,2014,4227388,3231799,463777,11752,27199,52418,341860,3330909,15087,317,788333,36736,70529,6509
94111,2014,1968631,304892,920073,437,10507,17023,254173,1510485,11837,0,426434,39374,70241,1642
94112,2014,2296333,1845912,51636,12744,48093,48020,128059,1495009,11908,449,257554,5387,74569,838
94114,2014,4379078,2875547,732088,5996,31080,61576,449703,3651902,15930,380,981492,44860,50515,10555
94115,2014,4004694,2135555,982847,5240,27620,53486,408322,3188084,20428,217,848497,48947,88326,7380
94116,2014,2152032,1485824,120805,6371,47488,49840,168696,1595340,7338,235,340917,12079,38370,2291
94117,2014,3465901,2359553,523435,6501,21691,41338,303072,2858043,26518,141,693963,31853,49374,5728
94118,2014,4241565,2023355,1079477,5483,38280,57163,483971,3376589,15320,259,898770,56030,77929,7244
94121,2014,2536826,1521131,346775,6616,43313,41346,207317,1970356,9605,168,461024,19945,46586,3184
94122,2014,2767719,2009562,156650,8770,51523,47128,185383,2110984,9346,250,442606,13926,48687,2417
94123,2014,4336132,2391884,974006,4189,28796,46872,467289,3613483,17240,77,1002391,51150,67242,9905
94124,2014,742068,590388,13535,6201,12309,14031,36158,434607,5093,78,69184,1109,36426,152
94127,2014,1837971,1111488,163811,2846,38100,46529,182723,1452189,5832,204,372930,18233,21160,3731
94129,2014,507141,261204,113321,503,1708,2095,51493,407205,1352,0,112928,5224,9276,1175
94130,2014,38210,33475,127,332,190,0,810,24270,229,0,3936,0,1771,0
94131,2014,2687622,1906428,257717,5202,36605,46197,255254,2177993,11358,293,562593,23955,36519,6184
94132,2014,988275,692824,45425,3750,25760,20780,68042,717627,3910,83,143548,4369,21390,578
94133,2014,1845746,1085829,295419,4117,20669,21247,156139,1413483,6791,66,348270,17533,42439,2492
94134,2014,1073417,859974,32396,6947,22175,22771,57500,675022,6151,154,111524,2088,40031,233
94158,2014,600903,454673,55069,899,1534,7703,49310,504089,2669,0,123754,4573,7542,1030
94301,2014,10602300,2485520,7082756,1501,33224,74655,1332325,8069157,29391,211,2312383,177910,338911,16194
94303,2014,4738760,2059532,569923,4827,37956,62494,341428,3056220,20921,295,845499,36251,102577,7730
94304,2014,992773,352853,429854,182,10017,6953,107142,784402,16505,0,211523,19099,41155,1515
94305,2014,536000,336488,50606,175,10397,10325,51155,422502,2162,0,110749,6241,8153,1377
94306,2014,3007748,2017162,442787,2819,36590,62609,314712,2442198,16599,294,651535,32683,38282,8114
94401,2014,1394676,1027259,84725,4322,28628,25107,98852,1013598,7002,48,209758,6331,33994,1168
94402,2014,2723665,1630896,427785,3425,44310,58094,284587,2174530,7858,287,579458,28374,36088,6619
94403,2014,3061638,1790741,342125,5921,45894,57018,277053,2375225,9812,239,550812,30495,50479,2826
94404,2014,2601332,1928163,234881,5405,47678,50857,224204,2064065,9879,232,482949,21638,35057,3921
94501,2014,2570477,1889516,133355,11099,55917,54411,175189,1876453,10532,222,366061,11982,55780,1655
94502,2014,884628,591568,58437,1973,23003,27916,82511,669943,2491,67,146714,6227,13242,1007
94503,2014,617134,516645,6640,3577,12355,13691,37901,391893,3847,187,64047,1280,19815,109
94505,2014,608758,417835,24758,2491,20364,19710,54101,424979,2594,414,82311,2723,12668,285
94506,2014,2707263,1800754,234776,2778,34928,76528,321030,2121021,8572,577,632427,27525,32279,6969
94507,2014,2331028,1269544,342299,1434,38678,56863,273416,1862282,7149,1214,525857,26566,34866,7010
94508,2014,110589,67363,12842,257,3590,2388,9045,76142,534,0,14741,1107,2062,59
94509,2014,1316837,1025120,14933,11665,42701,21283,60946,784776,9626,495,114800,868,59137,111
94510,2014,1260048,897388,36152,4615,38250,27785,93538,907472,5031,452,175269,4704,25233,719
94513,2014,2132361,1565712,58368,11060,66031,62398,164160,1436599,12410,1821,256268,6928,52161,645
94514,2014,32202,22544,209,285,940,651,1785,18459,198,0,2978,0,1036,0
94515,2014,279794,129277,27829,1147,9471,4958,21496,195952,1551,86,42382,1760,5650,230
94517,2014,723416,485068,27056,1948,24002,21568,65873,529550,2384,392,110592,4429,11299,583
94518,2014,973944,716817,30135,4286,31562,19975,63988,679893,3921,233,122566,2709,23614,352
94519,2014,567329,432394,10358,3473,17752,11218,33305,378453,2970,162,60602,607,16051,39
94520,2014,771864,607058,10187,4909,14206,8611,34306,444402,4924,78,73150,713,32442,83
94521,2014,1620208,1205696,40784,7428,52551,36473,111963,1133520,7244,553,203459,4655,35846,586
94523,2014,1578869,1147480,63166,5657,41563,36247,117676,1154109,7490,493,224273,7004,29848,1038
94525,2014,111631,78230,2275,713,4069,2098,6288,78446,355,0,13178,123,2638,0
94526,2014,2932830,1839396,293871,4211,64926,75436,307017,2272236,10490,969,572225,28393,41749,5694
94530,2014,1171695,762693,65697,3674,36379,29187,85852,856437,4750,218,164388,5957,21160,645
94531,2014,1205941,1000522,14430,8403,25943,33405,82404,760263,8542,624,119602,1794,41906,136
94533,2014,1601237,1226233,22274,12427,48279,24414,71553,962810,11362,732,143609,1621,66327,90
94534,2014,1616344,1155886,46995,6324,43243,40167,125177,1130924,8103,869,214660,6926,36074,820
94535,2014,84016,80285,412,281,210,225,709,43000,1356,0,4732,0,7356,0
94536,2014,3064148,2503615,141059,10592,49778,64523,222936,2252247,13976,510,451707,15145,64960,2308
94538,2014,2322181,2032108,56098,10073,26169,39293,140399,1662788,11581,284,308324,7375,60887,950
94539,2014,3948125,2949528,337191,7351,43248,114517,403366,3100058,21054,922,757148,45576,52733,7050
94541,2014,1513921,1262690,23390,11208,27709,25693,72497,932469,10516,252,144588,2615,61663,199
94542,2014,663271,463150,22083,2290,13794,15455,54793,496108,3677,234,105600,3505,12982,670
94544,2014,1691003,1419401,18265,12287,30987,26560,74841,1011673,13047,146,152631,1699,74082,157
94545,2014,887327,731274,13565,5672,19171,19233,52001,564239,5362,67,90387,1935,30820,165
94546,2014,1651272,1201155,56735,7298,47548,39509,112556,1148607,7683,391,204029,4620,40936,429
94547,2014,922956,721184,17947,4612,25954,29231,69525,623409,4207,119,107316,2112,24195,181
94549,2014,3308130,1701143,526391,2892,59169,75154,355596,2629041,14211,1160,704173,36193,48633,7413
94550,2014,2606403,1850380,124926,6685,59324,71744,231829,1916483,10524,1704,409821,16537,50023,2500
94551,2014,1611910,1305647,36808,6870,28968,40871,122921,1118395,7600,655,207294,5252,39649,717
94552,2014,906798,628616,57216,2358,19060,26742,84807,674738,3427,248,148173,6110,13464,1014
94553,2014,1895486,1331713,62913,9205,57548,43201,131564,1341712,7737,481,248450,5091,41815,544
94555,2014,1684694,1451709,64505,5724,20781,38160,134952,1264583,7357,183,262383,11280,31058,1544
94556,2014,1438359,800808,135477,1629,36752,36489,146690,1137107,4311,296,273187,14289,18430,2965
94558,2014,2604252,1623541,168633,10625,83436,59688,195266,1792072,12599,1363,353822,13871,61342,1954
94559,2014,893749,596334,61944,4691,23845,16317,52243,604228,4386,281,108934,3265,24038,452
94560,2014,1464402,1206418,39019,8100,28997,33260,95084,992020,7868,258,174444,4268,41380,502
94561,2014,1078599,895333,10951,8461,22530,31438,76334,677038,8109,600,105967,1659,36163,83
94563,2014,2543059,1289040,377713,1921,45869,60805,289853,2021811,13247,594,551345,28782,33915,6561
94564,2014,622657,448561,11137,3634,24252,15775,40072,413392,3123,229,66867,885,17229,65
94565,2014,1870700,1552924,12419,15335,41214,33637,88840,1090767,14544,528,157016,1493,82872,76
94566,2014,3545844,2473114,345489,5637,51743,86914,363848,2784635,13573,1199,706006,32509,45223,7775
94567,2014,19772,12218,545,131,625,402,1184,13751,115,0,2541,0,452,0
94568,2014,3023363,2489662,123964,8684,29977,83458,264213,2245219,10421,602,480288,22513,53628,2992
94571,2014,282164,132056,14977,1602,26010,6059,15958,187527,914,98,30436,440,7028,14
94572,2014,222507,168903,2350,1596,7966,4953,12270,140052,1368,39,21347,135,8110,0
94574,2014,772942,238250,99212,863,15793,12430,79447,590418,3544,249,159588,4856,20851,886
94576,2014,6188,3878,0,0,420,166,438,3538,10,0,618,0,147,0
94577,2014,1475403,1084770,45937,8288,38226,30961,91091,981877,7564,198,172323,3357,45186,252
94578,2014,899564,739829,12228,6687,19177,14283,38920,555074,6310,54,82976,804,36897,72
94579,2014,595199,466604,11313,3741,17329,13535,33335,382353,3350,48,59554,897,19176,65
94580,2014,760024,616198,10843,5307,19169,16401,41069,479974,5020,85,71645,642,26686,45
94582,2014,2745969,2293966,115596,6187,22357,104153,293856,2058318,11004,521,483834,30834,40630,4449
94583,2014,4322805,3870150,121091,6366,41200,69914,249609,3651808,313723,815,684333,17063,81011,13926
94585,2014,716981,582333,5119,6081,18045,12367,34637,441705,5425,210,63927,481,27953,22
94586,2014,84517,39951,10207,143,1964,1915,8557,63865,251,0,15023,659,1170,83
94587,2014,2458891,2034420,63692,12085,46415,63407,172699,1688303,12893,398,312067,9592,65958,1273
94588,2014,2183873,1585150,173742,4007,37561,49069,192174,1666271,10310,548,383548,16962,34471,2832
94589,2014,604643,476281,4321,5215,18847,6802,20696,347135,4660,91,47741,209,28090,0
94590,2014,692350,534197,11206,6473,17838,6343,24783,412528,4389,81,61410,737,32862,26
94591,2014,1667383,1271832,29152,10426,53711,34476,98099,1093366,9279,320,178820,2584,51950,231
94592,2014,28619,23501,329,125,477,1164,2673,19406,135,0,3568,92,806,0
94595,2014,1096121,426768,130250,1615,76405,29288,88187,822488,2143,212,169050,7810,13679,881
94596,2014,1524141,998054,93231,3317,31414,27134,128364,1156929,4187,362,279523,11954,30605,2656
